uri,author,replying_to,text,created_at,depth,likes,reposts
at://did:plc:oumtknf7cbhjzhy6fq2lc5wh/app.bsky.feed.post/3mlnwfnqztc2d,turningphrases.bsky.social,tinni-tus.bsky.social,"I'm not saying it will be a pandemic and I'm not in a panic, but I am saying they aren't trustworthy or honest. They've all been saying covid isn't that bad, it's not airborne, etc. when it very much is bad and airborne. I just don't trust them. I'll keep my N95 firmly in place regardless.",2026-05-12T13:46:31.689Z,7,2,0
at://did:plc:lsd2djttklqjr52boms7l4lo/app.bsky.feed.post/3mlnwrqornk2i,tinni-tus.bsky.social,turningphrases.bsky.social,"Im certainly not saying you should use RFK or Trump as reliable healthcare advice, but many experts are saying similar things in this case.

It should be taken seriously but as far as I can see it it. Thankfully it hasnt reached the lvl where Trump and RFK are in charge of the handling.",2026-05-12T13:53:17.414Z,8,0,0
at://did:plc:3cava7ptdy2jzdgnqdh6zkta/app.bsky.feed.post/3mlnx4mfn7s2q,demare.bsky.social,turningphrases.bsky.social,I question anything coming from the Trump Regime!,2026-05-12T13:59:22.019Z,8,0,0
at://did:plc:3yevfzteebvv4gw7nq3enwfe/app.bsky.feed.post/3mlnizomzac2f,joerandom.bsky.social,demare.bsky.social,If it would be truly contagious new virus don't you think there would be plenty of cases in South America?,2026-05-12T09:47:11.309Z,4,2,0
at://did:plc:jqmmoinld24o7swedrdzdkpj/app.bsky.feed.post/3mlmiugzdvk2u,tbiguy.bsky.social,fedup90611.bsky.social,he used to sniff cocaine off of toilets in the 80’s so he’s fine.,2026-05-12T00:11:35.814Z,2,2,0
at://did:plc:ywjc322oviamrpf7rhjdkf4t/app.bsky.feed.post/3mln6vnnx2s2y,batgurl62.bsky.social,tbiguy.bsky.social,"I think that was Ozzy but the Adderall addict might have been doing that along with the Adderall. Remember anything he says is usually a lie so take it from there,",2026-05-12T06:45:58.656Z,3,1,0
at://did:plc:zc6zvsb3w72a2ftkhqcjfmdx/app.bsky.feed.post/3mllqv7iag22l,daspelz.eurosky.social,acyn.bsky.social,"for us not from the US this is such an awkward and bizarre setting.... trump sitting, surrunded by his minions",2026-05-11T17:02:31.663Z,1,2,0
at://did:plc:zbjcl265uptfplavhbz73g6g/app.bsky.feed.post/3mlltor3s5s25,monik222.bsky.social,acyn.bsky.social,"I wasn't worried before... Now RFK, jr said not to worry, I might have to start worrying!",2026-05-11T17:52:36.476Z,1,1,0
at://did:plc:zbfr6yiskt53sffr627nhlct/app.bsky.feed.post/3mlmelbcqdc2p,grandpa9.bsky.social,acyn.bsky.social,"Oh, I feel better now. RFK Jr telling us it's under control. I'm sure he is telling the truth, just like everyone else in the clown and crime syndicate cabinet",2026-05-11T22:54:52.874Z,1,2,0
at://did:plc:zaduhuizvfulbggtbvlisska/app.bsky.feed.post/3mllr6hrdwc2i,oxcub311.bsky.social,acyn.bsky.social,Ivermectin stock might be rising soon.,2026-05-11T17:07:42.342Z,1,0,0
