author,meanCompound,postCount,majorityLabel
amparodo.bsky.social,-0.296,1,negative
ampshade.bsky.social,0.0,2,neutral
ampule2.bsky.social,0.3818,1,positive
amqhutton.bsky.social,-0.5362,1,negative
amrishbaidjoe.bsky.social,-0.2433,1,negative
amuly.bsky.social,-0.0516,1,negative
amvibe.bsky.social,-0.2732,1,negative
amyblufrog.bsky.social,-0.296,1,negative
amybrown.xyz,0.5194,2,positive
amyg8907.bsky.social,-0.2732,1,negative
amygstarks.bsky.social,0.4215,1,positive
amymaxmen.bsky.social,0.03306,5,positive
amyp-nobs.bsky.social,-0.6369,1,negative
anakhari.bsky.social,-0.4767,1,negative
analoren.bsky.social,0.0,1,neutral
anaolivias.bsky.social,-0.23835,2,negative
anarcheco.bsky.social,0.296,1,positive
anarchizmo.bsky.social,-0.9118,1,negative
anarchy101.bsky.social,0.14465,2,negative
anarchymarshmallow.bsky.social,-0.7039,1,negative
anardozi.bsky.social,-0.3612,1,negative
andeeharry1.bsky.social,0.10439999999999999,2,positive
andekar.bsky.social,0.7579,1,positive
anderbergskan.bsky.social,0.26335,2,neutral
andersandersson.bsky.social,-0.1953,3,neutral
andipete.bsky.social,-0.5267,1,negative
andomitus.bsky.social,0.0,1,neutral
andraste.fuckbgp.com,0.2997,2,positive
andrea-am.bsky.social,-0.8655,1,negative
andreagstylist.bsky.social,-0.1433,2,positive
andreaskyriacou.bsky.social,0.0,1,neutral
andreastudiescovid.bsky.social,-0.08324999999999999,26,negative
andreawoo.bsky.social,0.5267,1,positive
andref1989.bsky.social,-0.7469,1,negative
andresgowan.bsky.social,-0.2584,1,negative
andresheuberger.bsky.social,0.0,1,neutral
andrewaltenburg.bsky.social,0.34,1,positive
andrewhazlett.bsky.social,-0.5859,1,negative
andrewjfrizzell.bsky.social,0.4588,1,positive
andrewlevesque.bsky.social,0.3612,1,positive
andrewloviska.bsky.social,0.0,1,neutral
andrewrait.bsky.social,0.08865,4,positive
andrewtanyongyi.bsky.social,0.0,1,neutral
andrewtweeted.bsky.social,0.0,1,neutral
andrewzcooper.bsky.social,-0.2129,1,negative
andrian6.bsky.social,0.3612,1,positive
andy-s-64.bsky.social,-0.4404,1,negative
andygates.bsky.social,0.0,1,neutral
andygoblue.bsky.social,0.0,1,neutral
andyking.bsky.social,0.0,1,neutral
andymays.bsky.social,0.0,1,neutral
andymightbeme.bsky.social,0.0,1,neutral
andyo.bsky.social,0.1779,1,positive
andyphd21.bsky.social,-0.7906,1,negative
andypurk.bsky.social,0.4922,1,positive
andyrowe8880.bsky.social,0.0,1,neutral
