videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched,year,year_month,channel_type
3kke7qAGWFQ,How to Survive a Hantavirus,"http://www.ucsf.edu/news/2012/08/12648/hantavirus-be-careful-not-fearful UCSF's Charles Chiu, MD, PhD, discusses hantavirus, ...",UC San Francisco (UCSF),UCTFbirR7VEaj534FgNxKsaw,2012-08-30 16:39:16+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=3kke7qAGWFQ,2993383,175183,54253,1256,2012,2012-08,medical_expert
lUGCswwHmls,Hantavirus risk,"Hantavirus MV Hondius, a cruise ship with 148 passengers Deaths, 3 Confirmed infections, 2 Suspected, 8 At least 29 ...",Dr. John Campbell,UCF9IOB2TExg3QIBupFtBDxg,2026-05-08 16:04:59+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=lUGCswwHmls,1023341,55074,10255,1188,2026,2026-05,medical_expert
tcmMZxnbcvc,Cruise ship hantavirus: Doctor explains the risk,A suspected hantavirus outbreak on a luxury cruise ship held off the coast of South Africa has left at least three people dead and ...,CBC News: The National,UCKjU3KzdbJE1EFcHVqXC3_g,2026-05-05 02:00:54+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=tcmMZxnbcvc,18595,185,0,0,2026,2026-05,news_media
X7QXCc6f1nk,"Hantavirus Pulmonary Syndrome Explained | Symptoms, Risks &amp; Prevention | Dr. Mandell",Hantavirus Pulmonary Syndrome (HPS) is a rare but potentially deadly viral infection that many people know very little about.,Body Revival MD,UCrGbfhjQ35Lh28zRGiNt5JQ,2026-05-16 21:03:51+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=X7QXCc6f1nk,197,10,9,7,2026,2026-05,medical_expert
uHqL3VcqTI8,Hantavirus explained as health experts confirm &#39;Andes&#39; strain outbreak,A virus outbreak on board a cruise ship has killed three passengers and left others in hospital after being evacuated. [Subscribe to ...,Channel 4 News,UCTrQ7HXWRRxr7OsOtodr2_w,2026-05-06 16:42:56+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=uHqL3VcqTI8,89841,973,417,166,2026,2026-05,news_media
l2C4FrBUOKo,How Dangerous Is Hantavirus?,"A cruise ship outbreak has renewed interest in hantavirus, a rare but lethal virus with no cure.⁠ #Hantavirus #Disease #WSJ.",The Wall Street Journal,UCK7tptUDHh-RYDsdxO1-5QQ,2026-05-06 21:50:55+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=l2C4FrBUOKo,229518,4225,376,243,2026,2026-05,news_media
JRbZOQiz9yo,Hantavirus Explained | ABC NEWS,Dr Norman Swan explains the origins of hantavirus and whether an outbreak on a cruise ship could be the beginning of another ...,ABC News (Australia),UCVgO39Bk5sMo66-6o6Spn6Q,2026-05-11 05:30:09+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=JRbZOQiz9yo,63508,541,0,0,2026,2026-05,news_media
mFc5kylM8UM,"Hantavirus Pulmonary Syndrome Explained | Symptoms, Risks &amp; Prevention | Dr. William Li",Hantavirus is a rare but potentially deadly virus carried by rodents that can rapidly attack the lungs and cardiovascular system.,Bio Bites,UCGwwtTMwGssdqf9l_UtPFWQ,2026-05-15 23:55:13+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=mFc5kylM8UM,344607,13369,1039,806,2026,2026-05,medical_expert
1uPXM6yHcw4,What’s Hantavirus?  Doctor Explains #hantavirus #genehackman #health,Feel free to SUBSCRIBE for new #shorts #videos https://www.youtube.com/c/MikeMuellnerMD?sub_confirmation=1 LET'S ...,"Mike Muellner, M.D.",UC_KVWB_RjrL9szQhA1-i1qw,2025-03-12 03:29:58+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=1uPXM6yHcw4,150119,0,210,130,2025,2025-03,medical_expert
HOV0QHunlns,Why you shouldn&#39;t worry about a hantavirus outbreak now,"CNN's Dr. Sanjay Gupta goes through the levels of concern surrounding hantavirus, including if this outbreak will turn into another ...",CNN,UCupvZG-5ko_eiXAupbDfxWw,2026-05-08 22:37:01+00:00,hantavirus risk explained,https://www.youtube.com/watch?v=HOV0QHunlns,86700,1571,242,110,2026,2026-05,news_media
